"","name","event","timeSecs","timeMins","country","country2","year","medal","city","sex","gdp","pop","age","height","weight","dist"
"293","charles jenkins","400M Men",46.7,0.778333333333333,"USA","United States",1956,"G","Melbourne / Stockholm","M",3.08e+12,175000000,22,186,74,400
"294","voitto hellsten","400M Men",47,0.783333333333333,"FIN","Finland",1956,"B","Melbourne / Stockholm","M",3.79e+10,4280000,24,160,72,400
"295","arthur wint","400M Men",46.2,0.77,"JAM","Jamaica",1948,"G","London","M",4.59e+09,1350000,28,194,77,400
"296","herbert mckenley","400M Men",46.4,0.773333333333333,"JAM","Jamaica",1948,"S","London","M",4.59e+09,1350000,26,185,72,400
"297","mal whitfield","400M Men",46.9,0.781666666666667,"USA","United States",1948,"B","London","M",2.16e+12,150000000,23,185,76,400
"298","william arthur carr","400M Men",46.2,0.77,"USA","United States",1932,"G","Los Angeles","M",9.96e+11,128000000,22,172,66,400
"299","benjamin bangs eastman","400M Men",46.4,0.773333333333333,"USA","United States",1932,"S","Los Angeles","M",9.96e+11,128000000,21,185,70,400
"300","alex wilson","400M Men",47.4,0.79,"CAN","Canada",1932,"B","Los Angeles","M",6.5e+10,10800000,24,178,66,400
"301","eric liddell","400M Men",47.6,0.793333333333333,"GBR","United Kingdom",1924,"G","Paris","M",3.17e+11,44900000,22,173,68,400
"302","horatio fitch","400M Men",48.4,0.806666666666667,"USA","United States",1924,"S","Paris","M",1.16e+12,117000000,23,175,68,400
"303","charles reidpath","400M Men",48.2,0.803333333333333,"USA","United States",1912,"G","Stockholm","M",8.05e+11,97500000,22,181,76,400
"304","edward lindberg","400M Men",48.4,0.806666666666667,"USA","United States",1912,"B","Stockholm","M",8.05e+11,97500000,25,177,76,400
"305","harry hillman","400M Men",49.2,0.82,"USA","United States",1904,"G","St Louis","M",5.88e+11,83900000,22,180,66,400
"306","frank waller","400M Men",49.9,0.831666666666667,"USA","United States",1904,"S","St Louis","M",5.88e+11,83900000,20,176,71,400
"307","thomas burke","400M Men",54.2,0.903333333333333,"USA","United States",1896,"G","Athens","M",4.03e+11,72100000,21,183,66,400
"308","herbert jamison","400M Men",55.2,0.92,"USA","United States",1896,"S","Athens","M",4.03e+11,72100000,20,173,69,400
"309","kenenisa bekele","5000M Men",777.8,12.9633333333333,"ETH","Ethiopia",2008,"G","Beijing","M",7.26e+10,83200000,26,165,56,5000
"310","eliud kipchoge rotich","5000M Men",782.8,13.0466666666667,"KEN","Kenya",2008,"S","Beijing","M",7.6e+10,39100000,23,167,57,5000
"311","edwin cheruiyot soi","5000M Men",786.2,13.1033333333333,"KEN","Kenya",2008,"B","Beijing","M",7.6e+10,39100000,22,168,53,5000
"312","millon wolde","5000M Men",815.5,13.5916666666667,"ETH","Ethiopia",2000,"G","Sydney","M",4.01e+10,66500000,21,175,59,5000
"313","brahim lahlafi","5000M Men",816.5,13.6083333333333,"MAR","Morocco",2000,"B","Sydney","M",1.34e+11,28800000,32,172,62,5000
"314","paul bitok","5000M Men",792.7,13.2116666666667,"KEN","Kenya",1992,"S","Barcelona","M",4.59e+10,25000000,22,173,58,5000
"315","fita bayissa","5000M Men",793,13.2166666666667,"ETH","Ethiopia",1992,"B","Barcelona","M",2.62e+10,51600000,19,173,52,5000
"316","sa„É‚Ød aouita","5000M Men",785.6,13.0933333333333,"MAR","Morocco",1984,"G","Los Angeles","M",8.73e+10,22000000,24,175,58,5000
"317","ant„É‚≥nio leit„É‚Éo","5000M Men",789.2,13.1533333333333,"POR","Portugal",1984,"B","Los Angeles","M",1.47e+11,9980000,24,176,68,5000
"318","lasse viren","5000M Men",804.8,13.4133333333333,"FIN","Finland",1976,"G","Montreal","M",8.97e+10,4730000,26,180,60,5000
"319","dick theodorus quax","5000M Men",805.2,13.42,"NZL","New Zealand",1976,"S","Montreal","M",6.79e+10,3110000,28,183,65,5000
"320","mohamed gammoudi","5000M Men",845,14.0833333333333,"TUN","Tunisia",1968,"G","Mexico","M",1.43e+10,4840000,30,172,60,5000
"321","kip keino","5000M Men",845.2,14.0866666666667,"KEN","Kenya",1968,"S","Mexico","M",1.78e+10,10500000,28,173,66,5000
"322","naftali temu","5000M Men",846.4,14.1066666666667,"KEN","Kenya",1968,"B","Mexico","M",1.78e+10,10500000,23,174,62,5000
"323","murray halberg","5000M Men",823.4,13.7233333333333,"NZL","New Zealand",1960,"G","Rome","M",3.88e+10,2370000,27,178,62,5000
"324","kazimierz zimny","5000M Men",824.8,13.7466666666667,"POL","Poland",1960,"B","Rome","M",1.84e+11,29600000,25,172,60,5000
"325","alain mimoun","5000M Men",847.4,14.1233333333333,"FRA","France",1952,"S","Helsinki","M",3.86e+11,42400000,31,170,56,5000
"326","gunnar h„É‚ñckert","5000M Men",862.2,14.37,"FIN","Finland",1936,"G","Berlin","M",1.97e+10,3600000,26,178,68,5000
"327","lauri lehtinen","5000M Men",865.8,14.43,"FIN","Finland",1936,"S","Berlin","M",1.97e+10,3600000,27,174,64,5000
"328","henry jonsson-k„É‚Ñlarne","5000M Men",869,14.4833333333333,"SWE","Sweden",1936,"B","Berlin","M",5.04e+10,6260000,24,181,70,5000
"329","ville ritola","5000M Men",878,14.6333333333333,"FIN","Finland",1928,"G","Amsterdam","M",1.54e+10,3400000,32,175,66,5000
"330","paavo nurmi","5000M Men",880,14.6666666666667,"FIN","Finland",1928,"S","Amsterdam","M",1.54e+10,3400000,30,174,65,5000
"331","edvin wide","5000M Men",881.2,14.6866666666667,"SWE","Sweden",1928,"B","Amsterdam","M",4.07e+10,6120000,32,170,62,5000
"332","joseph guillemot","5000M Men",895.6,14.9266666666667,"FRA","France",1920,"G","Antwerp","M",2.05e+11,39100000,20,160,55,5000
"333","paavo nurmi","5000M Men",900,15,"FIN","Finland",1920,"S","Antwerp","M",9.66e+09,3140000,22,174,65,5000
"334","eric backman","5000M Men",913,15.2166666666667,"SWE","Sweden",1920,"B","Antwerp","M",3.06e+10,5870000,23,172,64,5000
"335","mohamed farah","5000M Men",821.7,13.695,"GBR","United Kingdom",2012,"G","London","M",2.18e+12,64300000,29,175,58,5000
"336","dejen gebremeskel","5000M Men",822,13.7,"ETH","Ethiopia",2012,"S","London","M",1.06e+11,92400000,22,180,58,5000
"337","thomas pkemei longosiwa","5000M Men",822.4,13.7066666666667,"KEN","Kenya",2012,"B","London","M",9.01e+10,43600000,30,175,57,5000
"338","hicham el guerrouj","5000M Men",794.4,13.24,"MAR","Morocco",2004,"G","Athens","M",1.6e+11,30200000,29,176,58,5000
"339","kenenisa bekele","5000M Men",794.6,13.2433333333333,"ETH","Ethiopia",2004,"S","Athens","M",4.83e+10,74600000,22,165,56,5000
"340","eliud kipchoge rotich","5000M Men",795.1,13.2516666666667,"KEN","Kenya",2004,"B","Athens","M",6.21e+10,35100000,19,167,57,5000
"341","venuste niyongabo","5000M Men",788,13.1333333333333,"BDI","Burundi",1996,"G","Atlanta","M",4.36e+09,6040000,22,176,60,5000
"342","paul bitok","5000M Men",788.2,13.1366666666667,"KEN","Kenya",1996,"S","Atlanta","M",5.14e+10,28100000,26,173,58,5000
"343","khalid boulami","5000M Men",788.4,13.14,"MAR","Morocco",1996,"B","Atlanta","M",1.29e+11,27500000,26,167,60,5000
"344","miruts yifter","5000M Men",801,13.35,"ETH","Ethiopia",1980,"G","Moscow","M",2.5e+10,35300000,36,162,53,5000
"345","kaarlo maaninka","5000M Men",802,13.3666666666667,"FIN","Finland",1980,"B","Moscow","M",1.03e+11,4790000,26,178,61,5000
"346","lasse viren","5000M Men",806.4,13.44,"FIN","Finland",1972,"G","Munich","M",8.11e+10,4650000,23,180,60,5000
"347","mohamed gammoudi","5000M Men",807.3,13.455,"TUN","Tunisia",1972,"S","Munich","M",2.04e+10,5290000,34,172,60,5000
"348","ian stewart","5000M Men",807.6,13.46,"GBR","United Kingdom",1972,"B","Munich","M",9.41e+11,56000000,23,178,65,5000
"349","robert keyser schul","5000M Men",828.8,13.8133333333333,"USA","United States",1964,"G","Tokyo","M",4.07e+12,197000000,27,184,66,5000
"350","bill dellinger","5000M Men",829.8,13.83,"USA","United States",1964,"B","Tokyo","M",4.07e+12,197000000,30,175,62,5000
"351","gordon pirie","5000M Men",830.6,13.8433333333333,"GBR","United Kingdom",1956,"S","Melbourne / Stockholm","M",6.05e+11,51300000,25,188,65,5000
"352","derek ibbotson","5000M Men",834.4,13.9066666666667,"GBR","United Kingdom",1956,"B","Melbourne / Stockholm","M",6.05e+11,51300000,24,175,68,5000
"353","gaston reiff","5000M Men",857.6,14.2933333333333,"BEL","Belgium",1948,"G","London","M",7.8e+10,8540000,27,173,61,5000
"354","lauri lehtinen","5000M Men",870,14.5,"FIN","Finland",1932,"G","Los Angeles","M",1.49e+10,3500000,23,174,64,5000
"355","ralph hill","5000M Men",870,14.5,"USA","United States",1932,"S","Los Angeles","M",9.96e+11,128000000,23,180,66,5000
"356","lauri virtanen","5000M Men",884,14.7333333333333,"FIN","Finland",1932,"B","Los Angeles","M",1.49e+10,3500000,27,172,68,5000
"357","paavo nurmi","5000M Men",871.2,14.52,"FIN","Finland",1924,"G","Paris","M",1.22e+10,3270000,26,174,65,5000
"358","ville ritola","5000M Men",871.4,14.5233333333333,"FIN","Finland",1924,"S","Paris","M",1.22e+10,3270000,28,175,66,5000
"359","edvin wide","5000M Men",901.8,15.03,"SWE","Sweden",1924,"B","Paris","M",3.52e+10,6020000,28,170,62,5000
"360","hannes kolehmainen","5000M Men",876.6,14.61,"FIN","Finland",1912,"G","Stockholm","M",1.01e+10,3000000,22,168,57.5,5000
"361","jean bouin","5000M Men",876.7,14.6116666666667,"FRA","France",1912,"S","Stockholm","M",2.63e+11,41500000,23,172,70,5000
"362","wilfred bungei","800M Men",104.7,1.745,"KEN","Kenya",2008,"G","Beijing","M",7.6e+10,39100000,28,172,60,800
"363","alfred kirwa yego","800M Men",104.8,1.74666666666667,"KEN","Kenya",2008,"B","Beijing","M",7.6e+10,39100000,21,175,56,800
"364","william tanui","800M Men",103.7,1.72833333333333,"KEN","Kenya",1992,"G","Barcelona","M",4.59e+10,25000000,28,183,70,800
"365","nixon kiprotich","800M Men",103.7,1.72833333333333,"KEN","Kenya",1992,"S","Barcelona","M",4.59e+10,25000000,29,185,68,800
"366","johnny gray","800M Men",104,1.73333333333333,"USA","United States",1992,"B","Barcelona","M",9.73e+12,257000000,32,191,75,800
"367","joaquim cruz","800M Men",103,1.71666666666667,"BRA","Brazil",1984,"G","Los Angeles","M",1.27e+12,133000000,21,187,74,800
"368","sebastian coe","800M Men",103.6,1.72666666666667,"GBR","United Kingdom",1984,"S","Los Angeles","M",1.16e+12,56400000,27,175,54,800
"369","earl jones","800M Men",103.8,1.73,"USA","United States",1984,"B","Los Angeles","M",7.77e+12,239000000,20,180,73,800
"370","alberto juantorena","800M Men",103.5,1.725,"CUB","Cuba",1976,"G","Montreal","M",1.12e+11,9540000,25,190,84,800
"371","ivo van damme","800M Men",103.9,1.73166666666667,"BEL","Belgium",1976,"S","Montreal","M",2.26e+11,9790000,22,191,76,800
"372","richard charles wohlhuter","800M Men",104.1,1.735,"USA","United States",1976,"B","Montreal","M",6.07e+12,221000000,27,175,60,800
"373","ralph doubell","800M Men",104.3,1.73833333333333,"AUS","Australia",1968,"G","Mexico","M",2.17e+11,12300000,23,180,65,800
"374","thomas francis farrell","800M Men",105.4,1.75666666666667,"USA","United States",1968,"B","Mexico","M",4.94e+12,206000000,24,172,64,800
"375","peter snell","800M Men",106.3,1.77166666666667,"NZL","New Zealand",1960,"G","Rome","M",3.88e+10,2370000,21,179,80,800
"376","roger moens","800M Men",106.5,1.775,"BEL","Belgium",1960,"S","Rome","M",1.12e+11,9170000,30,175,70,800
"377","mal whitfield","800M Men",109.2,1.82,"USA","United States",1952,"G","Helsinki","M",2.71e+12,163000000,27,185,76,800
"378","arthur wint","800M Men",109.4,1.82333333333333,"JAM","Jamaica",1952,"S","Helsinki","M",5.18e+09,1470000,32,194,77,800
"379","john woodruff","800M Men",112.9,1.88166666666667,"USA","United States",1936,"G","Berlin","M",1.29e+12,131000000,21,189,75,800
"380","mario lanzi","800M Men",113.3,1.88833333333333,"ITA","Italy",1936,"S","Berlin","M",2.3e+11,42700000,21,180,76,800
"381","philip edwards","800M Men",113.6,1.89333333333333,"CAN","Canada",1936,"B","Berlin","M",7.6e+10,11200000,28,176,64,800
"382","douglas lowe","800M Men",111.8,1.86333333333333,"GBR","United Kingdom",1928,"G","Amsterdam","M",3.45e+11,45600000,25,183,70,800
"383","erik byl„É‚âhn","800M Men",112.8,1.88,"SWE","Sweden",1928,"S","Amsterdam","M",4.07e+10,6120000,30,172,61,800
"384","albert hill","800M Men",113.4,1.89,"GBR","United Kingdom",1920,"G","Antwerp","M",3.09e+11,43800000,31,178,72,800
"385","earl eby","800M Men",113.6,1.89333333333333,"USA","United States",1920,"S","Antwerp","M",9.6e+11,109000000,25,179,60,800
"386","melvin sheppard","800M Men",112.8,1.88,"USA","United States",1908,"G","London","M",6.57e+11,90600000,24,177,67,800
"387","emilio lunghi","800M Men",114.2,1.90333333333333,"ITA","Italy",1908,"S","London","M",1.19e+11,35900000,21,179,70,800
"388","alfred tysoe","800M Men",121.2,2.02,"GBR","United Kingdom",1900,"G","Paris","M",2.53e+11,38000000,26,175,70,800
"389","david lekuta rudisha","800M Men",100.9,1.68166666666667,"KEN","Kenya",2012,"G","London","M",9.01e+10,43600000,23,190,76,800
"390","timothy kitum","800M Men",102.5,1.70833333333333,"KEN","Kenya",2012,"B","London","M",9.01e+10,43600000,17,172,60,800
"391","yuriy borzakovskiy","800M Men",104.5,1.74166666666667,"RUS","Russia",2004,"G","Athens","M",2.42e+12,144000000,23,183,70,800
"392","vebj„É‚∏rn rodal","800M Men",102.6,1.71,"NOR","Norway",1996,"G","Atlanta","M",2.26e+11,4390000,23,188,78,800
"393","fred onyancha","800M Men",102.8,1.71333333333333,"KEN","Kenya",1996,"B","Atlanta","M",5.14e+10,28100000,27,170,64,800
"394","steve ovett","800M Men",105.4,1.75666666666667,"GBR","United Kingdom",1980,"G","Moscow","M",1.08e+12,56300000,24,183,70,800
"395","sebastian coe","800M Men",105.9,1.765,"GBR","United Kingdom",1980,"S","Moscow","M",1.08e+12,56300000,23,175,54,800
"396","david james wottle","800M Men",105.9,1.765,"USA","United States",1972,"G","Munich","M",5.5e+12,213000000,22,183,66,800
"397","mike boit","800M Men",106,1.76666666666667,"KEN","Kenya",1972,"B","Munich","M",2.01e+10,12100000,23,180,68,800
"398","peter snell","800M Men",105.1,1.75166666666667,"NZL","New Zealand",1964,"G","Tokyo","M",4.64e+10,2580000,25,179,80,800
"399","william crothers","800M Men",105.6,1.76,"CAN","Canada",1964,"S","Tokyo","M",3.17e+11,19400000,23,183,71,800
"400","thomas courtney","800M Men",107.7,1.795,"USA","United States",1956,"G","Melbourne / Stockholm","M",3.08e+12,175000000,23,188,81,800
"401","derek johnson","800M Men",107.8,1.79666666666667,"GBR","United Kingdom",1956,"S","Melbourne / Stockholm","M",6.05e+11,51300000,23,176,66,800
"402","audun boysen","800M Men",108.1,1.80166666666667,"NOR","Norway",1956,"B","Melbourne / Stockholm","M",4.78e+10,3460000,27,181,66,800
"403","mal whitfield","800M Men",109.2,1.82,"USA","United States",1948,"G","London","M",2.16e+12,150000000,23,185,76,800
"404","arthur wint","800M Men",109.5,1.825,"JAM","Jamaica",1948,"S","London","M",4.59e+09,1350000,28,194,77,800
"405","marcel hansenne","800M Men",109.8,1.83,"FRA","France",1948,"B","London","M",3.12e+11,41200000,31,184,72,800
"406","thomas hampson","800M Men",109.8,1.83,"GBR","United Kingdom",1932,"G","Los Angeles","M",3.36e+11,46400000,24,184,69,800
"407","alex wilson","800M Men",109.9,1.83166666666667,"CAN","Canada",1932,"S","Los Angeles","M",6.5e+10,10800000,24,178,66,800
"408","douglas lowe","800M Men",112.4,1.87333333333333,"GBR","United Kingdom",1924,"G","Paris","M",3.17e+11,44900000,21,183,70,800
"409","schuyler enck","800M Men",113,1.88333333333333,"USA","United States",1924,"B","Paris","M",1.16e+12,117000000,24,178,73,800
"410","james edwin meredith","800M Men",111.9,1.865,"USA","United States",1912,"G","Stockholm","M",8.05e+11,97500000,20,175,71,800
"411","melvin sheppard","800M Men",112,1.86666666666667,"USA","United States",1912,"S","Stockholm","M",8.05e+11,97500000,28,177,67,800
"412","ira davenport","800M Men",112,1.86666666666667,"USA","United States",1912,"B","Stockholm","M",8.05e+11,97500000,24,178,72,800
"413","james lightbody","800M Men",116,1.93333333333333,"USA","United States",1904,"G","St Louis","M",5.88e+11,83900000,22,173,61,800
"414","tirunesh dibaba","10000M Women",1794.7,29.9116666666667,"ETH","Ethiopia",2008,"G","Beijing","W",7.26e+10,83200000,23,166,50,10000
"415","derartu tulu","10000M Women",1817.5,30.2916666666667,"ETH","Ethiopia",2000,"G","Sydney","W",4.01e+10,66500000,28,160,45,10000
"416","gete wami","10000M Women",1822.5,30.375,"ETH","Ethiopia",2000,"S","Sydney","W",4.01e+10,66500000,25,152,42,10000
"417","fernanda ribeiro","10000M Women",1822.9,30.3816666666667,"POR","Portugal",2000,"B","Sydney","W",2.6e+11,10400000,31,161,48,10000
"418","derartu tulu","10000M Women",1866,31.1,"ETH","Ethiopia",1992,"G","Barcelona","W",2.62e+10,51600000,20,160,45,10000
"419","lynn jennings","10000M Women",1879.9,31.3316666666667,"USA","United States",1992,"B","Barcelona","W",9.73e+12,257000000,32,165,50,10000
"420","tirunesh dibaba","10000M Women",1820.8,30.3466666666667,"ETH","Ethiopia",2012,"G","London","W",1.06e+11,92400000,27,166,50,10000
"421","sally jepkosgei kipyego","10000M Women",1826.4,30.44,"KEN","Kenya",2012,"S","London","W",9.01e+10,43600000,26,157,40,10000
"422","vivian jepkemoi cheruiyot","10000M Women",1830.4,30.5066666666667,"KEN","Kenya",2012,"B","London","W",9.01e+10,43600000,28,153,40,10000
"423","huina xing","10000M Women",1824.4,30.4066666666667,"CHN","China",2004,"G","Athens","W",7.9e+12,1310000000,20,168,48,10000
"424","ejegayehu dibaba","10000M Women",1825,30.4166666666667,"ETH","Ethiopia",2004,"S","Athens","W",4.83e+10,74600000,22,162,47,10000
"425","derartu tulu","10000M Women",1826.4,30.44,"ETH","Ethiopia",2004,"B","Athens","W",4.83e+10,74600000,32,160,45,10000
"426","fernanda ribeiro","10000M Women",1861.6,31.0266666666667,"POR","Portugal",1996,"G","Atlanta","W",2.22e+11,10200000,27,161,48,10000
"427","junxia wang","10000M Women",1862.6,31.0433333333333,"CHN","China",1996,"S","Atlanta","W",4.78e+12,1250000000,33,162,50,10000
"428","gete wami","10000M Women",1866.6,31.11,"ETH","Ethiopia",1996,"B","Atlanta","W",3.63e+10,59200000,21,152,42,10000
"429","shelly-ann fraser-pryce","100M Women",10.78,0.179666666666667,"JAM","Jamaica",2008,"G","Beijing","W",2.41e+10,2790000,21,160,57,100
"430","sherone simpson","100M Women",10.98,0.183,"JAM","Jamaica",2008,"S","Beijing","W",2.41e+10,2790000,23,163,59,100
"431","sherone simpson","100M Women",10.98,0.183,"JAM","Jamaica",2008,"S","Beijing","W",2.41e+10,2790000,24,175,61,100
"432","kerron stewart","100M Women",10.98,0.183,"JAM","Jamaica",2008,"S","Beijing","W",2.41e+10,2790000,23,163,59,100
"433","kerron stewart","100M Women",10.98,0.183,"JAM","Jamaica",2008,"S","Beijing","W",2.41e+10,2790000,24,175,61,100
"434","tanya lawrence","100M Women",11.18,0.186333333333333,"JAM","Jamaica",2000,"S","Sydney","W",2.18e+10,2660000,24,163,61,100
"435","merlene ottey","100M Women",11.19,0.1865,"JAM","Jamaica",2000,"B","Sydney","W",2.18e+10,2660000,40,175,62,100
"436","gail devers","100M Women",10.82,0.180333333333333,"USA","United States",1992,"G","Barcelona","W",9.73e+12,257000000,25,160,55,100
"437","juliet cuthbert","100M Women",10.83,0.1805,"JAM","Jamaica",1992,"S","Barcelona","W",2.16e+10,2470000,28,160,54,100
"438","evelyn ashford","100M Women",10.97,0.182833333333333,"USA","United States",1984,"G","Los Angeles","W",7.77e+12,239000000,27,165,52,100
"439","alice brown","100M Women",11.13,0.1855,"USA","United States",1984,"S","Los Angeles","W",7.77e+12,239000000,23,159,59,100
"440","merlene ottey","100M Women",11.16,0.186,"JAM","Jamaica",1984,"B","Los Angeles","W",1.69e+10,2310000,24,175,62,100
